Codigo;Nombre;Lista 1;Lista 2;Lista 3;Lista 4;Costo;Proveedor;Rubro;Subrubro;Cod. Barra
1083;FLOW ALMENDRAS;900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790380020233
1084;FLOW CEREAL AVELLANAS ARAN. CON MIEL;500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790380020271
1085;FLOW CEREAL OURO CACAO;500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790380020295
1086;FLOW CEREAL PISO DE CHOCOLATE;430;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790380020240
1087;FLOW CEREAL X6;2460;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790380015031
1088;FLOW CHOCOLATE;3000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790380020011
1089;FLOW GRANOLA;740;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790380015024
77995193;FOCOS XU;700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779951930
1090;FOLEM 1/2;700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;1333
1091;FOLEM 1KG;2500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;4836
1092;FRACCIONADO ANIMAL CREMY;1200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;22
3155;FRACCIONADO BABY DOLL;1700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;31554
77995199;FRACCIONADO BOCADITO BELL;3000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779951992
1093;FRACCIONADO BOMBON SMIILE;1100;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11170
1095;FRACCIONADO CARAM LHERITIER PICO DURO;1350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;29
1094;FRACCIONADO CARAMELO ALKA;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11153
714604664;FRACCIONADO CARAMELO ARCOR MENTA ;1600;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7146046640
714604561;FRACCIONADO CARAMELO ARCOR MENTA  Y MIEL;2300;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7146045612
1096;FRACCIONADO CARAMELO MARENGO;1350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;27
3153;FRACCIONADO CARAMELO MARENGO OSTRITA ;1350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;31530
1097;FRACCIONADO CARAMELO MISKY;1400;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11160
1098;FRACCIONADO CARAMELO NO HAY PLATA;1100;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11123
77995200;FRACCIONADO CHICLE ACIDO;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779952005
1099;FRACCIONADO CHICLE FIERTITA;1400;;;;;VARIOS;GOLOSINAS;GOLOSINAS;26
1100;FRACCIONADO CHICLE PLOP;1400;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11154
1101;FRACCIONADO CHICLE TERROR;1400;;;;;VARIOS;GOLOSINAS;GOLOSINAS;28
